ABC;ABC;["60"];1;Sphere;6;[10000];
{20001;0;[];0;20001;22756.772838524194;[56.23951849101746, 25.848124167746136, -44.24030546896232, -27.949798901735704, -78.67931950052434, 99.98466218241339]}
{20002;0;[];0;20002;24201.55958977586;[94.87061474529924, 69.36051160481827, -28.07513502666012, 75.30259162683731, -61.30118343265385, 13.180169756700238]}
{20003;0;[];0;20003;7538.286291047592;[-21.950969721554173, 14.846330554437074, 19.376042923687464, -75.63250231170666, 10.7043743890072, 25.014747890563797]}
{20004;0;[];0;20004;15317.586290883686;[46.00142599785269, 22.03099405849585, 79.23698032777926, 62.02145420179204, 41.426165669029245, 29.57707495738154]}
{20005;0;[];0;20005;22174.965516562304;[99.45440863895789, -78.02951417319548, 69.47123621721474, -20.745600774374466, 9.82110177007371, 29.018862550359387]}
{20006;0;[];0;20006;21418.687375064186;[-28.914216618615356, 56.09370137857272, 41.01096871955227, 56.4450348442322, 69.66800644711657, 87.8326788948699]}
{20007;0;[];0;20007;31663.611941283136;[-7.014322150281728, -90.24249916212935, 94.47338514414722, 77.75773873161069, -89.97456778386241, 20.094608478087622]}
{20008;0;[];0;20008;31339.268709174095;[94.2463898495898, -98.36123172101465, 58.29828708892359, -43.53397941506236, -21.318823066231985, -83.86635168931076]}
{20009;0;[];0;20009;22626.967008760057;[-95.80216691839117, -19.040140250782798, -66.88458615359508, -6.658835247697084, -91.39591437985464, -14.672551400759119]}
{20010;0;[];0;20010;5591.348561372832;[46.34191078840192, -27.058448661928438, -1.043970664571873, -43.00330441556992, 29.19006569336392, -3.0302180239793586]}
{20011;0;[];0;20011;29301.60124086216;[78.1989760084414, -81.73411433577695, -98.27234052294142, 47.26567622059622, -25.87967386454251, -62.807653721956804]}
{20012;0;[];0;20012;18216.414242750336;[47.99683827394702, 50.430743517829, -78.867502415667, -54.00508891920764, -52.65380930370911, -38.215202028063814]}
{20013;0;[];0;20013;16183.832543233162;[-20.16111179975259, -18.567455600764333, 66.30042538390975, -81.82016956236939, -63.24911671803308, 18.489845532914856]}
{20014;0;[];0;20014;33405.13283427834;[-19.544800418073933, 80.87895574563518, 96.33943384340895, 99.00244014890288, -22.409486987938052, 83.04681422320394]}
{20015;0;[];0;20015;28483.951196110727;[85.33760411413789, -17.336588939874886, -89.00132049245886, -39.42506431658035, -62.71016608429012, -86.56068118962608]}
{20016;0;[];0;20016;22476.06616811085;[-88.67580367433212, -72.14472656230488, -70.8352771590645, -62.37046841693914, 6.545094761930969, -21.383553350177095]}
{20017;0;[];0;20017;20357.716677754204;[68.39577320087048, 11.263543107098897, -63.16105863884665, 62.102202034706835, 71.22778309145005, 51.317322344621516]}
{20018;0;[];0;20018;31589.66323454644;[-65.53932384213562, 52.93108743689115, 96.44418245492986, 80.36510236103882, 30.04672346399991, 88.48573133442571]}
{20019;0;[];0;20019;26065.60196766331;[-51.03500458052248, 2.238386251011562, -97.98155564020344, 27.117540682972987, -74.1418431108237, -87.31128646334145]}
{20020;0;[];0;20020;12782.324368681358;[24.651767437219135, 33.69737812008751, -13.69606824603153, -59.034943509522094, -37.01585916108843, 77.43526824857338]}
{20021;0;[];0;20021;32050.281421156596;[36.15521565179688, -82.70292300468313, -25.84448053454321, -97.95006065626805, 98.55007620609652, 62.68204888096517]}
